location_id,location_name,sensor_id,sensor_name,latitude,longitude,country,provider,owner,instruments,monitor
225673,National Housing Authority Dindaeng,16312781,pm25 µg/m³,13.762516670000002,100.5502,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225673,National Housing Authority Dindaeng,1304204,pm25 µg/m³,13.762516670000002,100.5502,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225674,"Municipality Office, Nan",16312769,pm25 µg/m³,18.7888833,100.7763166,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225674,"Municipality Office, Nan",1304191,pm25 µg/m³,18.7888833,100.7763166,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225675,Meteorological Station Lopburi,16312748,pm25 µg/m³,14.800032,100.62854800000001,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225675,Meteorological Station Lopburi,1304332,pm25 µg/m³,14.800032,100.62854800000001,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225676,Ayutthaya Witthayalai School,1304217,pm25 µg/m³,14.35222,100.565325,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225676,Ayutthaya Witthayalai School,16312578,pm25 µg/m³,14.35222,100.565325,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225677,"Lak Si District Office, Bangkok",1304185,pm25 µg/m³,13.887395,100.579247,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225677,"Lak Si District Office, Bangkok",16312727,pm25 µg/m³,13.887395,100.579247,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225678,"Bang Khae District Office, Bangkok",16312583,pm25 µg/m³,13.696314,100.409049,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225678,"Bang Khae District Office, Bangkok",1304073,pm25 µg/m³,13.696314,100.409049,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225679,"Dusit District Office, Bangkok",1304309,pm25 µg/m³,13.776664,100.520982,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225679,"Dusit District Office, Bangkok",16312668,pm25 µg/m³,13.776664,100.520982,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225680,Sri Nakhon Khuean Khan Park,1304363,pm25 µg/m³,13.696681,100.563631,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225681,"Soi Sukhumwit 63 Roadside Wattana, Bangkok",16312902,pm25 µg/m³,13.722096,100.584559,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225681,"Soi Sukhumwit 63 Roadside Wattana, Bangkok",1304248,pm25 µg/m³,13.722096,100.584559,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225682,King Mongkut's University of Technology Thonburi,1304111,pm25 µg/m³,13.651004,100.496673,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225682,King Mongkut's University of Technology Thonburi,16312723,pm25 µg/m³,13.651004,100.496673,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225683,"Nong Chok District Office, Bangkok",16312800,pm25 µg/m³,13.855362,100.86267,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225683,"Nong Chok District Office, Bangkok",1304139,pm25 µg/m³,13.855362,100.86267,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225684,Army Apartment Sam Sen,16312575,pm25 µg/m³,13.783554,100.5344645,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225684,Army Apartment Sam Sen,1304399,pm25 µg/m³,13.783554,100.5344645,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225685,National Housing  Huaykwang,1304097,pm25 µg/m³,13.77553,100.569195,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225686,Highway NO.3902 km.13 +600,1304349,pm25 µg/m³,13.636514,100.414262,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225686,Highway NO.3902 km.13 +600,16312694,pm25 µg/m³,13.636514,100.414262,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225687,"Provincial Health Office, Loei",1304338,pm25 µg/m³,17.452765,101.728715,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225688,"Ratchathewi District Office, Bangkok",16312866,pm25 µg/m³,13.7590851,100.5345788,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225688,"Ratchathewi District Office, Bangkok",1304305,pm25 µg/m³,13.7590851,100.5345788,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225689,Phutthamonthon 1 - Borommaratchachonnani Intersection,1304065,pm25 µg/m³,13.780778,100.426727,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225689,Phutthamonthon 1 - Borommaratchachonnani Intersection,16312843,pm25 µg/m³,13.780778,100.426727,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225690,Agricultural Office,1304087,pm25 µg/m³,12.67155,101.2758667,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225691,"Ma Charean Roadside, Petcha Kasem 8, Nong Khaem",1304326,pm25 µg/m³,13.705582,100.343164,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
