network,station_code,initialization_time_utc,datetime_utc,observed_pm25,obs_n_obs,GEOSPM25,forecast_day,station_name
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 16:30:00+00:00,71.833333,3,45.370975494384766,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-14 00:00:00+00:00,2020-02-14 19:30:00+00:00,42.933333,3,48.63544845581055,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-14 00:00:00+00:00,2020-02-14 19:30:00+00:00,132.233333,3,75.897216796875,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 19:30:00+00:00,61.066667,3,52.602935791015625,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-14 00:00:00+00:00,2020-02-14 22:30:00+00:00,53.266667,3,36.13782501220703,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-14 00:00:00+00:00,2020-02-14 22:30:00+00:00,133.233333,3,81.72874450683594,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-14 00:00:00+00:00,2020-02-14 22:30:00+00:00,60.466667,3,53.620174407958984,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 01:30:00+00:00,58.7,3,48.28147888183594,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 01:30:00+00:00,172.533333,3,63.19437026977539,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-15 00:00:00+00:00,2020-02-15 01:30:00+00:00,93.366667,3,65.93421936035156,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 04:30:00+00:00,63.4,3,31.286115646362305,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 04:30:00+00:00,138.5,3,40.13422775268555,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-15 00:00:00+00:00,2020-02-15 04:30:00+00:00,70.866667,3,34.30254364013672,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 07:30:00+00:00,40.8,3,25.210628509521484,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 07:30:00+00:00,71.233333,3,31.78750228881836,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-15 00:00:00+00:00,2020-02-15 07:30:00+00:00,53.633333,3,27.686094284057617,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 10:30:00+00:00,43.466667,3,29.448650360107425,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 10:30:00+00:00,67.833333,3,30.916486740112305,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-15 00:00:00+00:00,2020-02-15 10:30:00+00:00,55.133333,3,26.252775192260746,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 13:30:00+00:00,84.733333,3,25.0506534576416,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 13:30:00+00:00,199.6,3,32.52137756347656,1,Luang Prabang
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 16:30:00+00:00,94.666667,3,24.03901481628418,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 16:30:00+00:00,203.566667,3,35.75440216064453,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-15 00:00:00+00:00,2020-02-15 16:30:00+00:00,130.966667,3,32.799949645996094,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 19:30:00+00:00,59.2,3,40.352169036865234,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 19:30:00+00:00,171.566667,3,42.67502212524414,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-15 00:00:00+00:00,2020-02-15 19:30:00+00:00,79.833333,3,67.68316650390625,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-15 00:00:00+00:00,2020-02-15 22:30:00+00:00,51.8,3,100.09479522705078,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-15 00:00:00+00:00,2020-02-15 22:30:00+00:00,162.566667,3,56.6513786315918,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-15 00:00:00+00:00,2020-02-15 22:30:00+00:00,59.633333,3,117.00326538085938,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-16 00:00:00+00:00,2020-02-16 01:30:00+00:00,55.9,3,116.08478546142578,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-16 00:00:00+00:00,2020-02-16 01:30:00+00:00,189.366667,3,85.37183380126953,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-16 00:00:00+00:00,2020-02-16 01:30:00+00:00,82.066667,3,140.016845703125,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-16 00:00:00+00:00,2020-02-16 04:30:00+00:00,74.566667,3,54.681888580322266,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-16 00:00:00+00:00,2020-02-16 04:30:00+00:00,148.166667,3,51.24927520751953,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-16 00:00:00+00:00,2020-02-16 04:30:00+00:00,73.6,3,48.9207878112793,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-16 00:00:00+00:00,2020-02-16 07:30:00+00:00,75.166667,3,41.381866455078125,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-16 00:00:00+00:00,2020-02-16 07:30:00+00:00,126.266667,3,70.46586608886719,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-16 00:00:00+00:00,2020-02-16 07:30:00+00:00,73.666667,3,37.36481475830078,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-16 00:00:00+00:00,2020-02-16 10:30:00+00:00,58.533333,3,41.06444549560547,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-16 00:00:00+00:00,2020-02-16 10:30:00+00:00,55.666667,3,46.36152648925781,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-16 00:00:00+00:00,2020-02-16 13:30:00+00:00,89.533333,3,54.819862365722656,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-16 00:00:00+00:00,2020-02-16 13:30:00+00:00,109.333333,3,55.153564453125,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-16 00:00:00+00:00,2020-02-16 16:30:00+00:00,51.633333,3,56.26992416381836,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-16 00:00:00+00:00,2020-02-16 16:30:00+00:00,212.966667,3,177.08828735351562,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-02-16 00:00:00+00:00,2020-02-16 16:30:00+00:00,50.166667,3,57.89519500732422,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-16 00:00:00+00:00,2020-02-16 19:30:00+00:00,16.533333,3,55.76854705810547,1,Vientiane
Lao PDR AQMS,AQMS07,2020-02-16 00:00:00+00:00,2020-02-16 19:30:00+00:00,177.133333,3,178.59381103515625,1,Luang Prabang
